"SEGMENTID","ONSTREETNAME","FROMSTREETNAME","TOSTREETNAME","BOROUGH_CODE","WORK_START_DATE","WORK_END_DATE","PURPOSE"
23194,"THAMES STREET","BROADWAY","TRINITY PLACE","M",2017-10-31,2018-01-26,"PLACE EQUIPMENT OTHER THAN CRANE OR SHOV"
23194,"THAMES STREET","BROADWAY","TRINITY PLACE","M",2017-10-31,2018-01-26,"OCCUPANCY OF SIDEWALK AS STIPULATED"
30663,"LITTLE NASSAU STREET","DEAD END","KENT AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
30838,"SKILLMAN STREET","MYRTLE AVENUE","WILLOUGHBY AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
30846,"SKILLMAN STREET","MYRTLE AVENUE","PARK AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
30830,"SKILLMAN STREET","DE KALB AVENUE","WILLOUGHBY AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
30670,"SKILLMAN STREET","FLUSHING AVENUE","PARK AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
30818,"SKILLMAN STREET","DE KALB AVENUE","LAFAYETTE AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
48495,"MOFFAT STREET","KNICKERBOCKER AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
44092,"MOFFAT STREET","CENTRAL AVENUE","EVERGREEN AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
47217,"MOFFAT STREET","CENTRAL AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43953,"MOFFAT STREET","BROADWAY","BUSHWICK AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
44080,"MOFFAT STREET","BUSHWICK AVENUE","EVERGREEN AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
30655,"LITTLE NASSAU STREET","KENT AVENUE","TAAFFE PLACE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43221,"JEFFERSON AVENUE","MALCOLM X BOULEVARD","STUYVESANT AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43331,"JEFFERSON AVENUE","PATCHEN AVENUE","MALCOLM X BOULEVARD","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43442,"JEFFERSON AVENUE","PATCHEN AVENUE","RALPH AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43215,"JEFFERSON AVENUE","LEWIS AVENUE","STUYVESANT AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43123,"JEFFERSON AVENUE","LEWIS AVENUE","MARCUS GARVEY BOULEVARD","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43550,"JEFFERSON AVENUE","HOWARD AVENUE","RALPH AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
225056,"JEFFERSON AVENUE","HOWARD AVENUE","SARATOGA AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
225057,"JEFFERSON AVENUE","HOWARD AVENUE","SARATOGA AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
294333,"DECATUR STREET","CENTRAL AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
294334,"DECATUR STREET","CENTRAL AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
44088,"DECATUR STREET","CENTRAL AVENUE","EVERGREEN AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43955,"DECATUR STREET","BUSHWICK AVENUE","EVERGREEN AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43947,"DECATUR STREET","BROADWAY","BUSHWICK AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
48505,"SCHAEFER STREET","IRVING AVENUE","KNICKERBOCKER AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
45353,"SCHAEFER STREET","KNICKERBOCKER AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
45347,"SCHAEFER STREET","CENTRAL AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
45359,"ELDERT STREET","KNICKERBOCKER AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
44086,"SCHAEFER STREET","CENTRAL AVENUE","EVERGREEN AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43963,"SCHAEFER STREET","BUSHWICK AVENUE","EVERGREEN AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005431,"KNICKERBOCKER AVENUE","GROVE STREET","LINDEN STREET","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005429,"KNICKERBOCKER AVENUE","GROVE STREET","LINDEN STREET","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005430,"KNICKERBOCKER AVENUE","GROVE STREET","LINDEN STREET","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005434,"KNICKERBOCKER AVENUE","GROVE STREET","LINDEN STREET","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
45124,"KNICKERBOCKER AVENUE","GROVE STREET","MENAHAN STREET","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005432,"KNICKERBOCKER AVENUE","GROVE STREET","LINDEN STREET","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005433,"KNICKERBOCKER AVENUE","GROVE STREET","LINDEN STREET","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005435,"KNICKERBOCKER AVENUE","GROVE STREET","LINDEN STREET","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005231,"KNICKERBOCKER AVENUE","GATES AVENUE","LINDEN STREET","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
45132,"KNICKERBOCKER AVENUE","GATES AVENUE","PALMETTO STREET","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005232,"KNICKERBOCKER AVENUE","GATES AVENUE","LINDEN STREET","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005233,"KNICKERBOCKER AVENUE","GATES AVENUE","LINDEN STREET","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005234,"KNICKERBOCKER AVENUE","GATES AVENUE","LINDEN STREET","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005235,"KNICKERBOCKER AVENUE","GATES AVENUE","LINDEN STREET","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005236,"KNICKERBOCKER AVENUE","GATES AVENUE","LINDEN STREET","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005237,"KNICKERBOCKER AVENUE","GATES AVENUE","LINDEN STREET","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
45121,"KNICKERBOCKER AVENUE","BLEECKER STREET","MENAHAN STREET","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
294331,"ELDERT STREET","CENTRAL AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
45365,"ELDERT STREET","IRVING AVENUE","KNICKERBOCKER AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
294317,"ELDERT STREET","CENTRAL AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
294318,"ELDERT STREET","CENTRAL AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
294322,"ELDERT STREET","CENTRAL AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
294330,"ELDERT STREET","CENTRAL AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
294332,"ELDERT STREET","CENTRAL AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9003804,"ELDERT STREET","CENTRAL AVENUE","EVERGREEN AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9003805,"ELDERT STREET","CENTRAL AVENUE","EVERGREEN AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9003806,"ELDERT STREET","CENTRAL AVENUE","EVERGREEN AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43959,"ELDERT STREET","BUSHWICK AVENUE","EVERGREEN AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43807,"ELDERT STREET","BROADWAY","BUSHWICK AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
48491,"DECATUR STREET","KNICKERBOCKER AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
48507,"DECATUR STREET","IRVING AVENUE","KNICKERBOCKER AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
238754,"WEST  155 STREET","8 AVENUE","HARLEM RIVER DRIVE","M",2017-10-31,2018-01-01,"OCCUPANCY OF ROADWAY AS STIPULATED"
238758,"WEST  155 STREET","8 AVENUE","HARLEM RIVER DRIVE","M",2017-10-31,2018-01-01,"OCCUPANCY OF ROADWAY AS STIPULATED"
37484,"EAST   82 STREET","5 AVENUE","MADISON AVENUE","M",2017-10-31,2017-11-04,"OCCUPANCY OF ROADWAY AS STIPULATED"
37484,"EAST   82 STREET","5 AVENUE","MADISON AVENUE","M",2017-10-31,2017-11-04,"OCCUPANCY OF SIDEWALK AS STIPULATED"
76766,"WARREN STREET","37 AVENUE","NYCTA SUBWAY","Q",2017-10-31,2018-01-01,"DEP CONTRACTOR MAJOR INSTALLATION SEWER"
11161,"OLYMPIA BOULEVARD","HEMPSTEAD AVENUE","MAPLETON AVENUE","S",2017-10-31,2017-11-04,"PLACE CRANE OR SHOVEL ON STREET"
31555,"WORTH STREET","HUDSON STREET","WEST BROADWAY","M",2017-10-31,2018-01-01,"D.D.C. CONTRACTOR MAJOR RECONSTRUCTION"
37484,"EAST   82 STREET","5 AVENUE","MADISON AVENUE","M",2017-10-31,2017-11-04,"PLACE CRANE OR SHOVEL ON STREET"
106930,"WEST  155 STREET","EDGECOMBE AVENUE","HARLEM RIVER DRIVE","M",2017-10-31,2018-01-01,"OCCUPANCY OF ROADWAY AS STIPULATED"
106944,"WEST  155 STREET","BRADHURST AVENUE","EDGECOMBE AVENUE","M",2017-10-31,2018-01-01,"OCCUPANCY OF ROADWAY AS STIPULATED"
11161,"OLYMPIA BOULEVARD","HEMPSTEAD AVENUE","MAPLETON AVENUE","S",2017-10-31,2017-11-04,"OCCUPANCY OF ROADWAY AS STIPULATED"
11161,"OLYMPIA BOULEVARD","HEMPSTEAD AVENUE","MAPLETON AVENUE","S",2017-10-31,2017-11-04,"OCCUPANCY OF SIDEWALK AS STIPULATED"
262213,"WEST  155 STREET","BRADHURST AVENUE","EDGECOMBE AVENUE","M",2017-10-31,2018-01-01,"OCCUPANCY OF ROADWAY AS STIPULATED"
119212,"195 STREET","119 AVENUE","BEND","Q",2017-10-31,2018-01-01,"DEP CONTRACTOR MAJOR INSTALLATION SEWER"
262214,"WEST  155 STREET","BRADHURST AVENUE","EDGECOMBE AVENUE","M",2017-10-31,2018-01-01,"OCCUPANCY OF ROADWAY AS STIPULATED"
31762,"WORTH STREET","CHURCH STREET","WEST BROADWAY","M",2017-10-31,2018-01-01,"D.D.C. CONTRACTOR MAJOR RECONSTRUCTION"
31774,"WORTH STREET","BROADWAY","CHURCH STREET","M",2017-10-31,2018-01-01,"D.D.C. CONTRACTOR MAJOR RECONSTRUCTION"
70649,"WEST  155 STREET","EDGECOMBE AVENUE","HARLEM RIVER DRIVE","M",2017-10-31,2018-01-01,"OCCUPANCY OF ROADWAY AS STIPULATED"
70851,"WEST  155 STREET","8 AVENUE","BRADHURST AVENUE","M",2017-10-31,2018-01-01,"OCCUPANCY OF ROADWAY AS STIPULATED"
71025,"WEST  155 STREET","8 AVENUE","HARLEM RIVER DRIVE","M",2017-10-31,2018-01-01,"OCCUPANCY OF ROADWAY AS STIPULATED"
43945,"SCHAEFER STREET","BROADWAY","BUSHWICK AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005439,"GROVE STREET","KNICKERBOCKER AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005440,"GROVE STREET","KNICKERBOCKER AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005441,"GROVE STREET","KNICKERBOCKER AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005442,"GROVE STREET","KNICKERBOCKER AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005446,"GROVE STREET","KNICKERBOCKER AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005445,"GROVE STREET","KNICKERBOCKER AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005443,"GROVE STREET","KNICKERBOCKER AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005444,"GROVE STREET","KNICKERBOCKER AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
45260,"GROVE STREET","ST NICHOLAS AVENUE","WYCKOFF AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005436,"GROVE STREET","KNICKERBOCKER AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005437,"GROVE STREET","KNICKERBOCKER AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
9005438,"GROVE STREET","KNICKERBOCKER AVENUE","WILSON AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
45127,"GROVE STREET","KNICKERBOCKER AVENUE","MYRTLE AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
45142,"GROVE STREET","IRVING AVENUE","MYRTLE AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
13776,"MOODY PLACE","BARD AVENUE","KISSEL AVENUE","S",2017-10-31,2018-01-01,"DEP CONTRACTOR MAJOR INSTALLATION SEWER"
8129,"TONKING ROAD","BEND","ROCKLAND AVENUE","S",2017-10-31,2017-11-30,"REPAIR GAS"
128578,"GROVE STREET","IRVING AVENUE","WYCKOFF AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
128579,"GROVE STREET","IRVING AVENUE","WYCKOFF AVENUE","B",2017-10-31,2018-01-01,"CONTRACT ROADWAY MILLING"
43119,"MAC DONOUGH STREET","LEWIS AVENUE","MARCUS GARVEY BOULEVARD","B",2017-10-30,2017-11-06,"DOT IN-HOUSE MILLING"
43030,"MAC DONOUGH STREET","MARCUS GARVEY BOULEVARD","THROOP AVENUE","B",2017-10-30,2017-11-06,"DOT IN-HOUSE MILLING"
43305,"MAC DONOUGH STREET","MALCOLM X BOULEVARD","STUYVESANT AVENUE","B",2017-10-30,2017-11-06,"DOT IN-HOUSE MILLING"
31260,"LORIMER STREET","AINSLIE STREET","DEVOE STREET","B",2017-10-30,2017-12-01,"OCCUPANCY OF ROADWAY AS STIPULATED"
67093,"24 STREET","43 AVENUE","44 ROAD","Q",2017-10-30,2017-11-01,"OCCUPANCY OF ROADWAY AS STIPULATED"
67093,"24 STREET","43 AVENUE","44 ROAD","Q",2017-10-30,2017-11-01,"PLACE CRANE OR SHOVEL ON STREET"
72585,"SICKLES STREET","NAGLE AVENUE","SHERMAN AVENUE","M",2017-10-30,2017-11-02,"OCCUPANCY OF ROADWAY AS STIPULATED"
84784,"126 STREET","25 ROAD","26 AVENUE","Q",2017-10-30,2018-01-01,"DEP CONTRACTOR MAJOR INSTALLATION SEWER"
63186,"LUCAS STREET","NASHVILLE BOULEVARD","WILLIAMSON AVENUE","Q",2017-10-30,2017-11-18,"OCCUPANCY OF ROADWAY AS STIPULATED"
63186,"LUCAS STREET","NASHVILLE BOULEVARD","WILLIAMSON AVENUE","Q",2017-10-30,2017-11-18,"PLACE CRANE OR SHOVEL ON STREET"
72585,"SICKLES STREET","NAGLE AVENUE","SHERMAN AVENUE","M",2017-10-30,2017-11-02,"PLACE CRANE OR SHOVEL ON STREET"
31260,"LORIMER STREET","AINSLIE STREET","DEVOE STREET","B",2017-10-30,2017-12-01,"PLACE CRANE OR SHOVEL ON STREET"
29873,"MAC DONOUGH STREET","MARCY AVENUE","TOMPKINS AVENUE","B",2017-10-30,2017-11-06,"DOT IN-HOUSE MILLING"
29886,"MAC DONOUGH STREET","THROOP AVENUE","TOMPKINS AVENUE","B",2017-10-30,2017-11-06,"DOT IN-HOUSE MILLING"
43209,"MAC DONOUGH STREET","LEWIS AVENUE","STUYVESANT AVENUE","B",2017-10-30,2017-11-06,"DOT IN-HOUSE MILLING"
43325,"MAC DONOUGH STREET","PATCHEN AVENUE","MALCOLM X BOULEVARD","B",2017-10-30,2017-11-06,"DOT IN-HOUSE MILLING"
43438,"MAC DONOUGH STREET","PATCHEN AVENUE","RALPH AVENUE","B",2017-10-30,2017-11-06,"DOT IN-HOUSE MILLING"
67358,"31 STREET","47 AVENUE","48 AVENUE","Q",2017-10-30,2017-11-06,"OCCUPANCY OF ROADWAY AS STIPULATED"
67358,"31 STREET","47 AVENUE","48 AVENUE","Q",2017-10-30,2017-11-06,"PLACE CRANE OR SHOVEL ON STREET"
165358,"EAST   48 STREET","MADISON AVENUE","PARK AVENUE","M",2017-10-30,2018-01-01,"OCCUPANCY OF ROADWAY AS STIPULATED"
165359,"EAST   48 STREET","MADISON AVENUE","PARK AVENUE","M",2017-10-30,2018-01-01,"OCCUPANCY OF ROADWAY AS STIPULATED"
31774,"WORTH STREET","BROADWAY","CHURCH STREET","M",2017-10-30,2018-01-01,"D.D.C. CONTRACTOR MAJOR RECONSTRUCTION"
164831,"WEST   59 STREET","11 AVENUE","12 AVENUE","M",2017-10-30,2018-01-01,"CONTRACT ROADWAY MILLING"
164832,"WEST   59 STREET","11 AVENUE","12 AVENUE","M",2017-10-30,2018-01-01,"CONTRACT ROADWAY MILLING"
164833,"WEST   59 STREET","11 AVENUE","12 AVENUE","M",2017-10-30,2018-01-01,"CONTRACT ROADWAY MILLING"
164869,"WEST   63 STREET","BROADWAY","CENTRAL PARK WEST","M",2017-10-30,2017-11-15,"CONTRACT ROADWAY MILLING-PROTECTED"
164870,"WEST   63 STREET","BROADWAY","CENTRAL PARK WEST","M",2017-10-30,2017-11-15,"CONTRACT ROADWAY MILLING-PROTECTED"
164863,"WEST   63 STREET","BROADWAY","COLUMBUS AVENUE","M",2017-10-30,2017-11-15,"CONTRACT ROADWAY MILLING-PROTECTED"
164864,"WEST   63 STREET","BROADWAY","COLUMBUS AVENUE","M",2017-10-30,2017-11-15,"CONTRACT ROADWAY MILLING-PROTECTED"
166419,"WEST  113 STREET","7 AVENUE","8 AVENUE","M",2017-10-29,2017-11-28,"MAJOR INSTALLATION - GAS"
9003932,"WEST  113 STREET","7 AVENUE","8 AVENUE","M",2017-10-29,2017-11-28,"MAJOR INSTALLATION - GAS"
9003933,"WEST  113 STREET","7 AVENUE","8 AVENUE","M",2017-10-29,2017-11-28,"MAJOR INSTALLATION - GAS"
9003931,"WEST  113 STREET","7 AVENUE","8 AVENUE","M",2017-10-29,2017-11-28,"MAJOR INSTALLATION - GAS"
109957,"UNION AVENUE","BEND","EAST  149 STREET","X",2017-10-29,2017-11-13,"PLACE CRANE OR SHOVEL ON STREET"
32448,"WEST   11 STREET","6 AVENUE","7 AVENUE","M",2017-10-29,2017-10-30,"OCCUPANCY OF ROADWAY AS STIPULATED"
32448,"WEST   11 STREET","6 AVENUE","7 AVENUE","M",2017-10-29,2017-10-30,"PLACE CRANE OR SHOVEL ON STREET"
126712,"HARBORVIEW PLACE","SEA GATE ROAD","WADSWORTH ROAD","S",2017-10-28,2017-11-27,"REPAIR GAS"
162730,"CHAPEL STREET","BRIDGE STREET","JAY STREET","B",2017-10-28,2017-11-06,"PLACE CRANE OR SHOVEL ON STREET"
32198,"CORNELIA STREET","BLEECKER STREET","WEST    4 STREET","M",2017-10-28,2017-11-15,"OCCUPANCY OF ROADWAY AS STIPULATED"
23260,"WARREN STREET","CHURCH STREET","WEST BROADWAY","M",2017-10-28,2017-11-06,"PLACE CRANE OR SHOVEL ON STREET"
271227,"WEST   15 STREET","HIGH LINE","9 AVENUE","M",2017-10-28,2017-10-30,"PLACE CRANE OR SHOVEL ON STREET"
271228,"WEST   15 STREET","HIGH LINE","9 AVENUE","M",2017-10-28,2017-10-30,"OCCUPANCY OF ROADWAY AS STIPULATED"
32114,"WOOSTER STREET","BROOME STREET","SPRING STREET","M",2017-10-28,2017-11-06,"OCCUPANCY OF ROADWAY AS STIPULATED"
291082,"SEAVIEW AVENUE","OLYMPIA BOULEVARD","PATTERSON AVENUE","S",2017-10-28,2017-10-30,"OCCUPANCY OF ROADWAY AS STIPULATED"
291083,"SEAVIEW AVENUE","OLYMPIA BOULEVARD","PATTERSON AVENUE","S",2017-10-28,2017-10-30,"OCCUPANCY OF ROADWAY AS STIPULATED"
34200,"WEST   47 STREET","6 AVENUE","7 AVENUE","M",2017-10-28,2017-10-30,"OCCUPANCY OF ROADWAY AS STIPULATED"
33912,"WEST   33 STREET","6 AVENUE","7 AVENUE","M",2017-10-28,2017-11-05,"OCCUPANCY OF SIDEWALK AS STIPULATED"
33912,"WEST   33 STREET","6 AVENUE","7 AVENUE","M",2017-10-28,2017-11-05,"PLACE CRANE OR SHOVEL ON STREET"
110930,"MINETTA STREET","6 AVENUE","BEND","M",2017-10-28,2017-11-27,"OCCUPANCY OF ROADWAY AS STIPULATED"
126713,"HARBORVIEW PLACE","SEA GATE ROAD","WADSWORTH ROAD","S",2017-10-28,2017-11-27,"REPAIR GAS"
32114,"WOOSTER STREET","BROOME STREET","SPRING STREET","M",2017-10-28,2017-11-06,"OCCUPANCY OF SIDEWALK AS STIPULATED"
162729,"CHAPEL STREET","BRIDGE STREET","JAY STREET","B",2017-10-28,2017-11-06,"OCCUPANCY OF ROADWAY AS STIPULATED"
106110,"WEST   56 STREET","10 AVENUE","11 AVENUE","M",2017-10-28,2017-11-06,"OCCUPANCY OF ROADWAY AS STIPULATED"
162730,"CHAPEL STREET","BRIDGE STREET","JAY STREET","B",2017-10-28,2017-11-06,"OCCUPANCY OF SIDEWALK AS STIPULATED"
32020,"GANSEVOORT STREET","9 AVENUE","WASHINGTON STREET","M",2017-10-28,2017-10-29,"OCCUPANCY OF ROADWAY AS STIPULATED"
236949,"WEST   20 STREET","HIGH LINE","11 AVENUE","M",2017-10-28,2017-11-06,"PLACE CRANE OR SHOVEL ON STREET"
32620,"WEST   12 STREET","5 AVENUE","6 AVENUE","M",2017-10-28,2017-11-06,"OCCUPANCY OF ROADWAY AS STIPULATED"
33912,"WEST   33 STREET","6 AVENUE","7 AVENUE","M",2017-10-28,2017-11-05,"OCCUPANCY OF ROADWAY AS STIPULATED"
32020,"GANSEVOORT STREET","9 AVENUE","WASHINGTON STREET","M",2017-10-28,2017-10-29,"PLACE EQUIPMENT OTHER THAN CRANE OR SHOV"
32823,"WEST   21 STREET","5 AVENUE","6 AVENUE","M",2017-10-28,2017-11-12,"OCCUPANCY OF ROADWAY AS STIPULATED"
32823,"WEST   21 STREET","5 AVENUE","6 AVENUE","M",2017-10-28,2017-11-12,"PLACE EQUIPMENT OTHER THAN CRANE OR SHOV"
32620,"WEST   12 STREET","5 AVENUE","6 AVENUE","M",2017-10-28,2017-11-06,"PLACE CRANE OR SHOVEL ON STREET"
34055,"WEST   43 STREET","7 AVENUE","8 AVENUE","M",2017-10-28,2017-10-29,"OCCUPANCY OF ROADWAY AS STIPULATED"
34055,"WEST   43 STREET","7 AVENUE","8 AVENUE","M",2017-10-28,2017-10-29,"OCCUPANCY OF SIDEWALK AS STIPULATED"
34055,"WEST   43 STREET","7 AVENUE","8 AVENUE","M",2017-10-28,2017-10-29,"PLACE CRANE OR SHOVEL ON STREET"
77198,"EAST  147 STREET","AUSTIN PLACE","TIMPSON PLACE","X",2017-10-28,2017-11-27,"OCCUPANCY OF ROADWAY AS STIPULATED"
77198,"EAST  147 STREET","AUSTIN PLACE","TIMPSON PLACE","X",2017-10-28,2017-11-27,"PLACE CRANE OR SHOVEL ON STREET"
106110,"WEST   56 STREET","10 AVENUE","11 AVENUE","M",2017-10-28,2017-11-06,"OCCUPANCY OF SIDEWALK AS STIPULATED"
106110,"WEST   56 STREET","10 AVENUE","11 AVENUE","M",2017-10-28,2017-11-06,"PLACE CRANE OR SHOVEL ON STREET"
162729,"CHAPEL STREET","BRIDGE STREET","JAY STREET","B",2017-10-28,2017-11-06,"OCCUPANCY OF SIDEWALK AS STIPULATED"
162729,"CHAPEL STREET","BRIDGE STREET","JAY STREET","B",2017-10-28,2017-11-06,"PLACE CRANE OR SHOVEL ON STREET"
162730,"CHAPEL STREET","BRIDGE STREET","JAY STREET","B",2017-10-28,2017-11-06,"OCCUPANCY OF ROADWAY AS STIPULATED"
164409,"EAST   25 STREET","MADISON AVENUE","PARK AVENUE SOUTH","M",2017-10-28,2017-11-06,"OCCUPANCY OF ROADWAY AS STIPULATED"
164409,"EAST   25 STREET","MADISON AVENUE","PARK AVENUE SOUTH","M",2017-10-28,2017-11-06,"OCCUPANCY OF SIDEWALK AS STIPULATED"
164409,"EAST   25 STREET","MADISON AVENUE","PARK AVENUE SOUTH","M",2017-10-28,2017-11-06,"PLACE CRANE OR SHOVEL ON STREET"
164410,"EAST   25 STREET","MADISON AVENUE","PARK AVENUE SOUTH","M",2017-10-28,2017-11-06,"OCCUPANCY OF ROADWAY AS STIPULATED"
164410,"EAST   25 STREET","MADISON AVENUE","PARK AVENUE SOUTH","M",2017-10-28,2017-11-06,"OCCUPANCY OF SIDEWALK AS STIPULATED"
164410,"EAST   25 STREET","MADISON AVENUE","PARK AVENUE SOUTH","M",2017-10-28,2017-11-06,"PLACE CRANE OR SHOVEL ON STREET"
164536,"WEST   20 STREET","HIGH LINE","11 AVENUE","M",2017-10-28,2017-11-06,"OCCUPANCY OF ROADWAY AS STIPULATED"
164536,"WEST   20 STREET","HIGH LINE","11 AVENUE","M",2017-10-28,2017-11-06,"PLACE CRANE OR SHOVEL ON STREET"
166005,"EAST   76 STREET","MADISON AVENUE","PARK AVENUE","M",2017-10-28,2017-11-06,"OCCUPANCY OF ROADWAY AS STIPULATED"
166005,"EAST   76 STREET","MADISON AVENUE","PARK AVENUE","M",2017-10-28,2017-11-06,"OCCUPANCY OF SIDEWALK AS STIPULATED"
166005,"EAST   76 STREET","MADISON AVENUE","PARK AVENUE","M",2017-10-28,2017-11-06,"PLACE CRANE OR SHOVEL ON STREET"
166006,"EAST   76 STREET","MADISON AVENUE","PARK AVENUE","M",2017-10-28,2017-11-06,"OCCUPANCY OF ROADWAY AS STIPULATED"
